,분류,키워드
20615,0,교내 자동 입출금기 위치
20616,0,냉장실 온도 최강 하기
20617,0,입학 통지서 메일로 왔는지
20618,0,다음주 화요일 수학여행이라고 저장하기
20619,0,두시 엠비씨 티비 드라마 녹화하기
20620,0,칠월 도쿄 날씨
20621,0,여로보암의 우상 숭배로 죽은 아들 이름
20623,0,옷장에 있는 옷 스팀으로 다려줘
20624,0,형광등 모두 소등 하기
20627,0,전자레인지 끝날 때까지 남은 시간
20628,0,내일 세미나 장소
20629,0,오픈하자마자 좋은 자리 맡기
20630,0,야채 먹기
20631,0,오늘 회의 제목
20632,0,침대칸 여부
20634,0,사전투표 날짜
20635,0,저번 주 일정 달성도
20636,0,기지개 한번 쭉 켜고 일하기
20639,0,오늘 엄마 보기로 한 장소
20640,0,수락산 터널 차량 흐름
20641,0,태풍 진행 방향
20642,0,어제 받은 메일 중 안 읽은 메일들 검색하기
20644,0,다음달 가족여행 날짜
20645,0,내일 엄마랑 가기로 한 미술관
20646,0,부산시 진입로 정체구간
20648,0,지금 인덕션이 켜져 있는지
20649,0,그 카드 할인 혜택
20650,0,쇼핑 메일 쇼핑폴더로 이동하기
20652,0,한 시간 쯤 후 가능 여부
20653,0,서울시 간선 버스 지선 버스
20654,0,팔월 삼십일일 김민지 생일 입력하기
20655,0,친구가 보낸 메일을 지우기
20656,0,다음달 한국 입국 일정 날짜
20657,0,저번주 눈 온 요일
20658,0,최근 보낸 메일 삼십개 말고 다 지우기
20659,0,장학금 관련 메일 여부
20660,0,야유회 장소 확인하기
20661,0,오늘 전세계에서 가장 습한 곳
20662,0,김치만두가 김치에게 한 말
20664,0,알수없는 사이트 주소 포함된 메일 스팸으로 분류하기
20665,0,아침 아홉시 스마트이불 정돈하기
20667,0,공기업 채용 관련 정보
20668,0,좋은 인터넷 증권회사
20669,0,새해 요일
20671,0,출발하는 날 날씨
20672,0,칠월육일 거제도 일정 추가하기
20673,0,눈앞에 띄게 하지 않기
20674,0,저번주 비 온 날짜
20675,0,다음주 금요일 회의 시간
20676,0,에이즈 치료제 개발 안된 이유
20677,0,세시부터 네시 사이 비 오는지
20678,0,다음 주 금요일 날씨
20680,0,가락시장 근처 전통 음식점 가는 방법
20681,0,수련회 장소
20682,0,부장님에게 온 메일 별표표시하기
20683,0,해 지는 시간
20684,0,이번주 토요일 서울 날씨 맑은지
20685,0,중요메일함 비우기
20686,0,다음주 레슨 시간
20687,0,내일 오후 대구 날씨
20688,0,시험 공부 기간
20689,0,일찍 가서 쉬기
20690,0,암몬이 쳐들어올려고 할때 사울이 군사를 베섹땅에 모집한 숫자
20691,0,화자가 보낸 메일을 민자가 읽었는지
20692,0,퀴즈 팔십 점 이하는 재시험 보기
20693,0,세탁기 삼십분 후에 돌리기
20694,0,스팸 메일함에 있는 편지를 비우기
20697,0,고구마 으깬감자 중 살것
20699,0,보낸메일함에 현장체험학습세부계획 메일 검색하기
20700,0,어제 두산 베이스 팀 경기 관련 기사
20701,0,오늘 일정 개수
20702,0,세미나 요일
20704,0,페이스북에서 온 메일 확인하기
20705,0,저리 비키기
20706,0,차단기 내리기
20708,0,그 분야 주식 팔지 않는 이유
20709,0,내일 부모님 보는 장소
20711,0,태풍 오는지
20712,0,이번주 토요일 피부과 오전 열시 입력하기
20714,0,안읽은 메일 읽음 처리하고 지우기
20715,0,까쓰오븐 켜기
20716,0,내일로 예약하기
20717,0,엘이디 조명 켜기
20718,0,음식물 쓰레기통 차있는 정도
20719,0,마중 나오기
20720,0,내일 오후 한시 과외가기 일정 추가하기
20721,0,하나님은이 엘리야에게 말한 바알에게 무릎 꿇지 않은 사람 수
20722,0,미국 지금 날씨
20723,0,오늘 밤 도착 메일 모두
20724,0,남부 순환도로 교통 사고 여부
20726,0,물건 자주 잃어버리는지
20727,0,이번주 토요일 회사 가는지
20728,0,화장실 문 닫기
20729,0,컴퓨터 절전모드로 하기
20730,0,자기앞 수표 발행 자격
20731,0,이번 주부터 집 근처 교회 나가기
20735,0,미얀마 우기 기간
20737,0,강남역 삼번출구에서 보기
20739,0,내일 데이트 일정 시간
20740,0,오전 일곱시에 티비 키고 여덜시에는 끄기
20742,0,다음 공휴일
20743,0,사업 확장하지 않기
20744,0,광고메일 남았는지
20745,0,올림픽 현재 우리나라 메알 순위 관련 기사
20749,0,받은 메일함에서 에이치더블유피로 검색하기
20750,0,내일 비 올지
20751,0,영화 보는 시간
20753,0,올해 제삿날
20754,0,내일 오후 비 그치는지
20755,0,감정싸움 하지 않기
20757,0,다음주 출근 시간
20758,0,과장님께 여쭤 봐도 될지
20760,0,성인이라는 단어가 들어간 메일 모두 삭제하기
20761,0,청자가 어제 회식 안 온 이유
20762,0,오늘 보낸 메일함 확인하기
20763,0,공대 안 가고 우리 학과 지원한 이유
20764,0,예술의전당 앞으로 한시까지 오기
20765,0,오존 농도
20766,0,야외로 나가기
20767,0,전방 급커프 조심하기
20768,0,수신함에 장민하가 보낸 이메일 수
20769,0,포항 여진 세기
20770,0,내일 세시 미용실 일정 등록하기
20771,0,임시보관함을 비우기
20772,0,적금 하나 들어놓기
20773,0,남한산성 근처 산채비빔밥 전문점
20775,0,적용할 근거 및 방법
20777,0,오늘 술 약속 여부
20778,0,기아팀 농구 경기 관련 기사
20779,0,이번 스승의날 선생님 찾아뵙기
20780,0,삼일 전 온 메일 개수
20782,0,건너방 불 켜졌는지
20783,0,서두르지 않기
20784,0,내일 일출 시각
20786,0,지난 사월 십칠일 평택 날씨
20787,0,메이저리그 뉴스
20788,0,독일 맥주축제 기간
20789,0,내일 모레 전주 날씨
20790,0,두시간 이후에 하기
20791,0,뜨거운 물로 샤워하고 나오기
20792,0,올해 자카르타에서 온 이메일 자카르타 라벨 목록으로 이동하기
20796,0,보고서 낼 때 양식 지키기
20797,0,오늘 밤 있는 스케쥴 장소 인터파크티켓이라고 하기
20798,0,어제 여자친구한테 받은 메일 보관처리하기
20799,0,지금 지나는 역
20800,0,과식하지 않기
20801,0,다음달 추가된 일정
20803,0,이번주 일요일 메가박스 갈 시간
20804,0,일요일 열한 시에 메가박스 앞에서 보기
20806,0,내년 추석 연휴 기간
20807,0,다음 주 토요일 점심 드라이브 일정 추가하기
20808,0,일본으로 축구 응원 가기
20809,0,요즘 소비자들 소비 패턴
20810,0,오늘 내일 강수확률
20811,0,운세 관련 메일 스팸 등록하기
20812,0,내놓기
20813,0,어제 저녁 제주도 강수량
20815,0,배꼽파기를 계속하면 일어나는 일
20816,0,쓸만한 메일들 정리해서 보내기
20818,0,만날 장소 비비큐로 입력하기
20819,0,도움 필요하면 메일 주기
20820,0,냉장고 전원 켜져있는지
20821,0,시력이 안 좋으면 뒤쪽으로 나오기
20822,0,이번주 주간 날씨
20823,0,어디로 가면 좋을지 의견을 카페에 올리기
20824,0,구월에 온 메일 모두 지우기
20825,0,이번주 월요일 서울 날씨
20826,0,내일모레 춘천 날씨
20827,0,부모님 주말에 시간 되시는지 여쭤보기
20828,0,오늘온 메일 있는지
20829,0,회사에서 온 메일 중요메일함으로 옮기기
20831,0,증권계좌 계좌이체 인터넷 외 가능한 곳
20832,0,청소에 적당한 음악
20833,0,저저번주 화요일 온 편지 찾기
20834,0,내일 오후 동창 모임 시간
20836,0,보행자들은 각별히 유의하기
20837,0,다음주 빕스 식사 약속 요일
20840,0,가스 끄고 왔는지
20841,0,첨부파일 다운 여부
20845,0,무산소운동과 유산소운동 병행하기
20846,0,내일 오늘보다 날씨 맑은지
20847,0,미술학원 갈 시간
20848,0,커피 머신 작동 시키기
20849,0,집에 불 꺼진 곳 있는지
20852,0,현재 풍랑 경보 해제 지역
20854,0,티비 오후 세시에 켜기
20856,0,이번주중 자외선 지수 매우 높음인날
20857,0,올해 공휴일 
20858,0,오후 열두시 조명 모두 켜기
20859,0,커튼 쳐졌는지
20860,0,국세청에서 온 메일 확인하기
20861,0,다다음주 금요일 저녁 회식 일정 추가하기
20862,0,실장님 질책 여부
20863,0,도착 시각
20864,0,포인트 제목 있는 이메일
20865,0,메일함 용량 얼마 안남았을 때 알림 하기
20866,0,페이스북 메일 수신 차단 여부
20867,0,비죽이 오지 않기
20868,0,남산터널 교통상황
20869,0,프로야구 올스타전 일정 관련 기사
20871,0,보낸메일 수
20872,0,온라인 성적표 도착 여부
20873,0,엄마랑 통화하라고 십분후에 알리기
20874,0,빨리 가기
20876,0,올림픽대로 가다서다 반복하는 구간
20877,0,여유자금 자유 저축 상품
20878,0,모레 헬스하는 부위
20879,0,어제 서울지역 구름 양
20881,0,오늘 회의 끝나고 일정 있는지
20882,0,지금 일본 덥고 습한지
20883,0,안읽음에 있는 모든 편지들 완전 삭제하기
20884,0,텔레비전 하루에 한 시간만 보기
20885,0,로봇청소기 작동 중단시키기
20886,0,내일 학부모 회의 엄마께 알려드렸는지
20890,0,최근 메일 열개 삭제하기
20893,0,현대증권과 한양증권 중 수수료 싼 것
20894,0,내게쓴메일함의 최근 세 개 메일을 삭제하기
20896,0,방금 메일 보낸 사람
20897,0,오늘 오전 아홉시반 보험설계사 만나는 일정 추가하기
20899,0,건강 보험 비교 사이트
20900,0,오늘 삼백일 호에서 모이기
20903,0,요즘 수익률 높은 종목
20904,0,어제 일정 다 삭제하기
20906,0,내게 쓴 메일함에 있는 메일 다 삭제하기
20907,0,내일 정오 교수님이랑 점심약속 추가하기
20908,0,도리도리하기
20909,0,오늘 밤 강설량
20910,0,내일 광안리 해수 온도
20911,0,내 주소록에서 새 그룹 설정하기
20912,0,다음 달 춤연습 일정 횟수
20913,0,방금 온 메일 영구 삭제하기
20914,0,좌석 예약 가능 시간
20915,0,오늘 정오 기온
20916,0,오늘 메일 중 안 읽은 메일 수
20917,0,디브이디 전원 켜서 영화 재생하기
20918,0,전화 싫으면 문자 하기
20919,0,옷방 콘센트 전원 모두 끄기
20921,0,이번주 목요일 약속 하루 전에 알림하기
20923,0,이번 동계 올림픽 개최지 국가
20924,0,내일 저녁 여덟시 미세먼지농도
20925,0,다음 주 꽃꽂이 배우러 가는 날
20926,0,인터넷 쇼핑몰 같이 하기
20927,0,전국 유도 대회 관련 기사 모으기
20930,0,남은 연료 량
20932,0,비행기 예약 시간
20933,0,아시안 게임 관련 기사
20934,0,내일 하루종일 비 안오는지
20935,0,매일 일곱 시 알람 끄기
20936,0,고교 동창모임이라고 제목을 바꾸기
20939,0,회사 그만둬야 하는지
20940,0,이번주 월요일 마사지 약속 일곱시인지
20941,0,내일 이비인후과 다녀오기
20942,0,카메라 보증서 여부
20943,0,오늘 안읽음 메일 다 읽음처리하기
20944,0,일년이 지난 메일 전부 삭제하기
20945,0,목요일 약속 여부
20946,0,이번주 제주도 날씨
20947,0,현재 전국날씨
20948,0,사업터전 뿌리 내리기
20950,0,티비 새벽 다섯시에 켜기
20951,0,명세표 관련 메일 왔는지
20952,0,하루 전 확인안한 메일 확인 삭제 여부
20953,0,문밖 보여주기
20954,0,거실 테이블 조명 켜기
20955,0,구리 엘지전자 서비스센터 가는 방법
20957,0,이번 태풍 한국 기간
20958,0,한 시간 뒤 일정 취소하기
20960,0,보낸 편지함 제일 최신 메일 보낸 곳
20961,0,학습계획 단원별로 세우기
20962,0,내 방 불 꺼졌는지
20965,0,다음달 편의점 알바 시각
20966,0,칠월 첫째주 토요일 행사 일정 추가하기
20967,0,전국 강우 집계표
20968,0,이번주 목요일 오후 한시에 병원 일정 추가하기
20969,0,어제 종합 주가 지수 기사
20970,0,채권가격 채권 금리 반비례 이유
20972,0,얘기하기
20975,0,오전 일정 모두 취소 여부
20976,0,항공관련 광고 메일 수
20977,0,집에서 노래 크게 부르는지
20978,0,별자리 관련 메일 스팸처리 여부
20979,0,오늘 밤 천둥번개 치는지
20980,0,동록 주소에서 온 메일 있는지
20981,0,내년 설 연휴 날짜
20982,0,내 방 불 꺼져있는지
20983,0,이번주 청담동에서 하는 일정들
20984,0,집에 온 사람
20985,0,팔월 군산 날씨
20987,0,금요일 오후 약속
20988,0,스팸메일통 비우기
20989,0,에어컨 두 시간 틀기
20990,0,제목이나 내용에 연극 관련된 메일 왔는지
20991,0,새로온 메일
20992,0,지난달 초 학교에서 메일 왔는지
20993,0,침실 모든 전기 끄기
20994,0,말복 날짜
20998,0,캘린더의 영화 단어 들어간 일정
21001,0,보낸 편지함 메일 전부 삭제하기
21003,0,에어컨 한시간 후 멈추기
21005,0,전국 주요 도시 강수 분포도
21008,0,원천 기술에 먼저 집중하기
21010,0,집에 씨씨티비 작동시키기
21012,0,광고 메일 다 삭제하기
21013,0,통화 안 되는 이유
21016,0,읽지 않은 메일 중 가장 오래된 메일
21018,0,로봇청소기에게 청소 시키기
21019,0,보일러 켜주기
21020,0,주말 운동 일정 매주 반복 처리 여부
21022,0,메일 하단에 자동으로 나오는 회사 주소 삭제하기
21024,0,내일 오전 열시반 약국가기 일정 추가하기
21025,0,사진첩 대거 업데이트 와서 구경하고 발자국 남기기
21026,0,지난달에 응급으로 온 메일 있는지
21027,0,할아버지가 끊었는지
21029,0,오늘 해야할 것
21030,0,서울 강남구 양주 파는 곳
21036,0,대책
21037,0,칠월 일일 오후 여섯시 신림역 삼번출구 소개팅 일정 추가하기
21038,0,스탠드 불 끄기
21040,0,싸고 괜찮은 헬스장
21041,0,히터 온도 조금 더 높이기
21042,0,오일 전에 온 메일 검색하기
21044,0,이 메일 답장쓰기
21045,0,선선해지는 시기
21046,0,삽십분 후 티브이 끄기
21049,0,내일 수업
21051,0,이번달 뷔페 간 횟수
21052,0,이번주 수요일 저녁 데이트 시각
21053,0,최근에 온 메일 읽기
21054,0,좋은 교육보험 상품
21055,0,찜질방 온도 이도 낮추기
21056,0,숨기라고 하는 이유
21058,0,거기 예약된 일정 모두 취소하기
21059,0,다음 치과 예약 날짜
21061,0,오늘 제주도 강수량
21062,0,다음주 월요일 날씨 맑은지
21063,0,밀린 세금 이번주 안으로 납부하기
21064,0,이번주 화요일 비오는지
21065,0,금요일 날 볼링모임에 나오기
21066,0,작성중인 메일 중에 최신 내용 읽기
21067,0,그때 갔던데 가기
21069,0,서울 강남역 여행상품 
21071,0,자원봉사 연락 없이 빠지지 않기
21072,0,이천십구년 일월 십오일 랩미팅 일정 추가하기
21076,0,오븐 속에 든 것
21078,0,휴지통 편지 남았는지
21079,0,이번주 금요일 네네치킨에서 만나는 시간
21080,0,따뜻하게 입고 나오기
21081,0,매년 칠월 이십일 아빠 생신이라고 기록하기
21082,0,냉장도 온도 낮추기
21084,0,보낸 메일함 친구에게 보낸 메일 수
21085,0,주말에 매형이랑 같이 내려오기
21087,0,욕조 물 삼십도 정도로 해서 틀기
21088,0,이번달 스키장 날짜
21089,0,내일 필라테스 예약 확인하기
21090,0,와이파이 속도
21092,0,오늘 폭염특보 해제 시간
21093,0,다음주 광주 중구 평균기온
21094,0,공부하기 전 계획 세우기
21096,0,오늘 가는 시각
21097,0,라합이 내린 빨간 밧줄의 의미
21099,0,이번 주 금요일 월차 가능 여부
21101,0,취약과목 대비법
21102,0,아마존 스팸처리 여부
21103,0,오월달에 온 메일 검색하기
21104,0,앨범 발표일
21105,0,금요일 저녁 친구 만나는 장소
21106,0,스피커 소리 낮추기
21107,0,잘못된 주소로 메일 갔는지
21108,0,아이피 주소 앞자리 일사이로 시작하는 것 있는지
21109,0,같이 쇼핑가기
21115,0,커피머신 전원 끄기
21116,0,사 번 출구에서 기다리기
21118,0,구월구일 내생일일정 추가 여부
21119,0,나발의 아내
21120,0,자가용 밀양까지 걸리는 시간
21121,0,고마워하기
21123,0,빨래 건조 완료 여부
21126,0,주방에 불 꺼졌는지
21127,0,내일 인천 일몰 볼 수 있는지
21128,0,오늘 교수님한테 이메일 왔는지
21129,0,봉사 장학생 신청하려면 학과 사무실로 오기
21132,0,오늘 회사로 보낸 메일 있는지
21133,0,상사에게 편지 전달하기
21134,0,어제 대구 날씨
21136,0,다다음달 개강총회 일정
21137,0,초인종 누른 사람 보이기
21138,0,다음주 휴가 날짜 시작일
21141,0,내일 첫 이메일 확인하기
21142,0,내일 아침 브리핑에서 보기
21144,0,안읽은 메일 삭제하기
21145,0,언니랑 여행가는 날
21146,0,작년 처음 눈 내린 곳
21147,0,어제 확인 못한 메일
21148,0,오늘 아침 일곱시 예약 메일 잘 보내졌는지
21149,0,내일 잡힌 일정 다 취소하기
21151,0,열리지 않은 메일 있는지
21152,0,내일 오전 아침 운동 일정 여부
21155,0,저번주 운동 두번이상 갔는지
21156,0,실업급여 신청 기한
21157,0,저번 주 아이허브 전화했는지
21159,0,베란다 등이 켜져 있는지
21160,0,구월 결혼식 장소
21161,0,내일 알람 맞추기
21162,0,오늘 점심 때 로비에서 십분 일찍 보기
21164,0,오늘 저녁약속 시간 오후 일곱시인지
21166,0,오늘 오전에 학교에서 온 이메일 수신 여부
21167,0,방금 온 메일 차단 여부
21168,0,맨앞에서 탈지 맨 뒤에서 탈지
21169,0,자는지
21170,0,화자의 아들 백 일 날짜
21171,0,안방 선풍기 취침모드로 하기
21172,0,일본말 가능한 사람 있는지
21173,0,쇼핑관련 메일 자동 삭제 하기
21175,0,이메일 서명란의 큐알 코드 찾기
21176,0,난방 온도 이십오도에 맞추기
21178,0,읽지않은 메일 지우기
21179,0,다음주 스케쥴
21180,0,자신의 생각을 마음껏 표현하기
21181,0,저번주에 온 메일 다 삭제하기
21182,0,우리 회사가 아넬바랑 기술 제휴 맺는지
21183,0,그 얘기 아는지
21184,0,다음주 토요일 조카 돌잔치인지
21185,0,오후 강수량
21187,0,온 메일 개수
21189,0,저녁 먹고 연락하기
21191,0,대통령 취임 날짜
21192,0,내일 공기청정도
21193,0,텔레비전 지금 켜졌는지
21194,0,집에 밥 있는지
21195,0,오늘 오후일정 있는지
21196,0,저번 달 평균 기온
21197,0,스피커 볼륨 오로 낮추기
21198,0,작년 칠월 칠일 경기도 비 왔는지
21200,0,방카슈랑스 시행 시기
21201,0,꽃가루 날리는 때 외출 삼가거나 마스크 착용하기
21202,0,어제보다 더운 날씨인지
21203,0,화자의 생일까지 남은 날
21204,0,내일 밤 만나주기
21205,0,실업급여 타는 방법
21206,0,내용으로 검색하기
21207,0,작년 한 해 강수량 
21208,0,내일 새벽 서리내리는 양
21209,0,도시락 싸오기
21210,0,씨뿌리는 비유에서 말씀이 뿌리는 것
21211,0,내일 오후 미팅 시간
21212,0,일주일 안에 천둥 번개 오는지
21213,0,정선생에게 온 메일만 표시하기
21214,0,오늘 오후 여섯시 메일 왔는지
21216,0,어제 전세계에서 자외선 지구 가장 높은 곳
21217,0,내일 미팅 관련한 메일 찾기
21218,0,편도표인지 왕복표인지
21221,0,아침 일곱시 에어컨 켜기
21222,0,어제까지 보낸 메일 수신
21224,0,메일 내일 오전 열두시 발송 예약하기
21225,0,내일 첫 수업 시간
21226,0,받은 메일함 화면 보낸사람끼리 묶어서 보여주기
21227,0,이번주 화요일에 가는 장소
21228,0,역방향 멀미 괜찮을지
21229,0,내일 만나는 사람한테 전화하기
21231,0,다음주 목요일 교육 시간
21232,0,한 시간 후 알람 추가하기
21234,0,수강신청기간 하루전 알려주기
21235,0,김치냉장고 온도 영하 일 도로 맞추기
21237,0,넥슨 회사에서 온 메일 중요 메일함에 넣기
21238,0,십분 전에 온 메일에 중요표시하기
21239,0,이번주 점심 일정
21241,0,오늘 오후 다섯시 날씨
21242,0,교육방송 수학방송 시간
21243,0,내일 저녁 약속 일정 추가하기
21245,0,오븐시간 예약하기
21246,0,오늘 눈 오는 시간대
21247,0,규정 속도 준수하기
21248,0,안방 온돌 침대 이 도 낮추기
21249,0,일요일 서울 날씨 맑은지
21251,0,오늘 일정 다 끝나는 시간
21252,0,스팀게임 할인 기간
21253,0,금연 금주하지 않기
21254,0,작년 십이월 서울 적설량
21255,0,조명 밝기 중간으로 하기
21256,0,십 분 전에 보낸 메일 수신확인 됐는지
21257,0,병문안 호실
21258,0,돌발상황 발생 구간
21259,0,이번달 핸드폼 요금 청구메일 왔는지
21260,0,오늘 자외선 양
21263,0,이번 수능 날짜
21264,0,쌩하니 고개 돌리지 않기
21267,0,미얀마 팔 월 날씨
21268,0,실내 온도 높이기
21269,0,얼음 자동으로 얼리기
21270,0,사원 출입 카드 재발급 방법
21271,0,오늘 비 시작해서 멈추는 시간
21272,0,주식투자 하기 전 욕심 버리기
21273,0,메일보낼때 다 파일 첨부해서 보내기
21276,0,성사되면 한 턱 쏘기
21277,0,이번달 중순 지나 보기
21278,0,첫 월급 타면 부모님께 사드릴 것
21279,0,십일월 일정
21281,0,텔레비전 음악채널 돌려주기
21282,0,좀 쉬기
21283,0,교수님에게 온 이메일 읽기
21284,0,임시보관함 메일 모두 지우기
21285,0,핸드볼 신생팀에 관한 기사 모으기
21286,0,이층 불 다 꺼졌는지
21287,0,교수님이 보낸 메일 있는지
21289,0,트위터 메일 수신 차단 여부
21290,0,다음주 금요일 저녁 약속 취소하기
21291,0,아버지 팔순 잔치 날짜
21292,0,이창 창문 잠겨있는지
21294,0,기획 영업팀 성격 업무
21295,0,지금까지 강수량
21296,0,성적 평가서 메일 왔는지
21297,0,욕실 히터 미리 켜기
21298,0,보일러 온도 이십사도인지
21299,0,오전 열시마다 식기세척기 돌리기
21300,0,이번주 최저 온도
21301,0,숫자를 잃어버리면 처음부터 시작하기
21302,0,세탁실 불 켜져있는지
21303,0,거실 조명 완전히 밝게 하기
21304,0,일주일 전 일정
21305,0,이틀 전에 온 메일 개수
21307,0,오분 뒤 거실 불 켜기
21309,0,삼십일 부산 비 올 확률
21310,0,오늘 태국 미세먼지 지수
21311,0,지난 주 회의 했었던 날짜
21312,0,최근 보낸 메일 상대방이 읽었는지
21314,0,만날 장소 맘스터치로 입력하기
21315,0,명동에서 연인들 제일 많이 가는 레스토랑 위치
21317,0,뒤를 보기
21318,0,내일 수업 이름
21321,0,이번달 축구경기 일정 개수
21322,0,엘리야가 광야에서 숨어 산 곳
21323,0,아침 강설량
21324,0,보험 하나 들기
21325,0,오늘 대기 건조 여부
21326,0,호빗에서 온 이메일 전부 삭제하기
21327,0,그 사람 스킨스쿠버 강사 여부
21329,0,오늘 전국 한낮의 체감온도
21330,0,어제 방문했던 와이너리 이름
21331,0,선풍기 두 시간 뒤 끄기
21333,0,십이월 일일날 설악산 눈 올 확률
21335,0,회사 앞에서 만나기
21336,0,받은 메일 모두 휴지통으로 옮기기
21337,0,일주일 지난 메일 다 지우기
21338,0,환풍기 삼십분만 끄기
21341,0,최근 받은 메일 삼십개 말고 다 지우기
21342,0,전자제품 끄기
21344,0,연락 안되는 이유
21345,0,티브이 채널
21347,0,임시보관함 메일 지우기
21348,0,아는지
21349,0,현재 독도 해상 파도 높이
21350,0,지금 컴퓨터 켜졌는지
21351,0,안 읽은 메일 지우기
21352,0,오늘 회사에서 메일 온 것 확인하기
21353,0,부엌 가스레인지 켜졌는지
21355,0,받은 메일함에 거래처에서 온 메일 확인하기
21357,0,거실 온도 이십도 맞추기
21358,0,올해 총 휴일 수
21359,0,송미진 그렇게 한 이유
21360,0,지금 제습기 틀기
21361,0,오늘 최고 불쾌지수
21362,0,어젯밤 나리 메일 왔는지
21363,0,저번주 교수님에게 온 메일 모으기
21365,0,모르는 부분들 김주임님께 여쭈어보기
21367,0,돈을 많이 벌었다면 사회를 위해서 쓰기
21369,0,내일 저녁 영화보러갈 때 우산 가져가기 추가하기
21370,0,다음달 장날
21371,0,분산 예치하기
21372,0,보낸 메일 중 메일주소 틀린 것 있는지
21373,0,소이 방 에어컨 이십 오 도 맞춰주기
21374,0,회사행사 이틀전에 매번 알리기
21376,0,월요일 저녁 여섯시 서류 마감 입력하기
21377,0,은행 방카슈랑스 상품 가입 우대 금리 여부
21379,0,오늘 언제 더운지
21381,0,다음주 목요일 눈 수술 일정 취소하기
21383,0,음식물 투입하려면 열림으로 내리기
21384,0,저번달 공항출발날짜
21385,0,오늘 눈 가장 많이 온 지역 강설량
21386,0,목욕하게 욕조 물 틀기
21388,0,노트북 켜졌는지
21390,0,수요일 저녁 약속 여부
21391,0,앞 베란다 창문 열려있는지
21392,0,보일러 온수로 틀기
21393,0,삼년전 수신된 모든 메일 삭제하기
21396,0,이번 달 영화 같이 볼 수 있는지
21397,0,얼굴은 예쁜데 속이 텅 빈 여자
21398,0,이천십년 전 메일 보관함에 있는지
21399,0,스팸메일함에 등록된 메일 모두 스팸 취소 처리하기
21400,0,오늘 수신 메일 중 첨부파일 포함된 메일 있는지
21401,0,수요일 수업
21403,0,암벽등반하지 않기
21404,0,제습기 켜졌는지
21405,0,주거래 은행을 하나 정해 놓기
21406,0,이 메일주소로 오는 것들 모두 스팸처리하기
21408,0,스팸메일 다 지우기
21409,0,보일러 온도 이십육도인지
21410,0,티비 조명 밝게 하기
21411,0,마지막으로 하고 싶은 말
21414,0,태풍 지나갈 날
21415,0,내일부터 운동장 두 바퀴씩 달리기
21416,0,버스 급정거시 청년이 아가씨를 껴안고 하는 기도
21417,0,열시 영화 예약하기
21418,0,내일 낮 습도
21419,0,받은 메일함으로 들어가기
21420,0,서비스 쎈타에 전화하기
21421,0,에어컨 작동 여부
21423,0,내일 날씨 팁
21424,0,내일 친구 집들이 일정 추가하기
21426,0,이번학기 정식종강일
21428,0,힘내고 밥 잘 챙겨먹기
21429,0,내일 늦지 말고 오기
21430,0,삽십오도 넘으면 에어컨 틀기
21431,0,서울역 근처 볼링장
21432,0,문 열기
21433,0,스팸처리 메일주소 수
21434,0,회사에서 가장 최근 온 메일
21435,0,고속버스에서 창문 열지 않기
21436,0,오늘 미세먼지 농도 정상 되는 시간
21438,0,건강검진 결과가 메일로 왔는지
21439,0,어제 집에 들어온 사람 있는지
21440,0,같이 주식 정보 공유 까페 가입하기
21441,0,이번 주 중요 일정 안내하기
21443,0,구월 결혼식 날짜
21444,0,청승 떨지 않기
21446,0,매일 아홉시 열두시 여섯시에 감기약 먹는 일정 추가하기
21447,0,에어컨 제습모드로 틀기
21448,0,다음 주 보는 영화
21449,0,망년회 세 번 이상 가지 않기
21450,0,가스랑 보일러 끄기
21451,0,첨부 메일의 파일 다운로드 완료 여부
21452,0,내일 강원도 비오는지
21453,0,다음주 제주도 여행 일정 추가하기
21454,0,이번주 중 자외선 지수 낮은 날 있는지
21455,0,메일 수신거부 하기
21456,0,오늘 일정 있는지
21457,0,교수님께 내일 미팅일정이 취소되었다고 메일하기
21459,0,가스레인지 위에 있는 것
21460,0,오늘 대설주의보 있는 곳
21463,0,이 지역 이산화질소 농도
21464,0,내게쓴 메일함 다 지우기
21465,0,생일선물 사기로 한 요일
21467,0,이번주 월요일 열한시 등산가기 일정 추가하기
21468,0,잘못된 주소로 갔는지 메일 확인하기
21469,0,엘리베이터 내려감 버튼 누르기
21470,0,화자가 보낸 메일 수신확인 여부
21471,0,바람 가장 많이 부는 때
21472,0,밴드 소독약 여부
21474,0,영화 같이 보기
21475,0,습도 너무 높으면 자동으로 제습기 켜기
21476,0,감전 조심하기
21477,0,내일 점심 동창모임 취소하기
21478,0,어제 회사에서 온 메일 보관함으로 옮기기
21479,0,대림님께 팩스 온 서류 빨리 가져오라 하기
21480,0,휴가기간 알림 답장 설정 여부
21481,0,오늘 밤 태풍 여부
21483,0,오늘 청주지역 구름양
21484,0,메일 쓰기 페이지로 들어가기
21485,0,유월말 야유회 시간 장소
21486,0,스탠드 조명 끄기
21487,0,쇼핑할 것 있는지
21488,0,남친한테 온 편지 분류하기
21491,0,뒤쪽으로 자리 옮겨도 될지
21492,0,다음주 일정 알려주고 식사모임 있으면 취소하기
21493,0,바깥에 바람 많이 부는지
21494,0,서초구 미세먼지
21495,0,이번주 안에 비 오는지
21496,0,부모님 결혼 기념일 날짜
21497,0,안방 밝기 어둡게 하기
21499,0,패턴 메이킹 기초부터 차근히 배우기
21500,0,이번주 전주 강수량
21501,0,다음 여행 장소 이탈리아인지
